	Habitat	Landscape	average_Temp_DL	MAP	MAT
5636_4_A	arable	agriculture	15.25665183	825.2333333	7.761111111
5636_4_F	forest	agriculture	16.61734263	846.4	7.490277778
5636_4_G	grassland	agriculture	15.72867834	803.2	7.681666667
5637_3_A	arable	urban	16.95296339	757.8333333	7.724722222
5637_3_G	grassland	urban	15.11561366	775.1666667	7.689166667
5637_3_U	settlement	urban	16.62642138	717.2333333	7.7475
5728_2_A	arable	agriculture	16.89579912	597.4	8.961666667
5728_2_F	forest	agriculture	16.93120023	689.9666667	8.481944444
5728_2_G	grassland	agriculture	15.77898904	595.2666667	9.096944444
5737_3_A	arable	agriculture	14.73236487	818.9	7.747777778
5737_3_F	forest	agriculture	13.65976721	795.6	7.755555556
5737_3_G	grassland	agriculture	14.01443609	781.6666667	7.832222222
5837_4_A	arable	agriculture	15.66301728	811.0333333	7.49
5837_4_F	forest	agriculture	15.89684296	903.2	7.4125
5837_4_G	grassland	agriculture	14.2631539	797.7	7.7
5838_2_A	arable	urban	16.86815104	762.0666667	7.268611111
5838_2_F	forest	urban	17.17007608	778.4666667	7.029444444
5838_2_U	settlement	urban	15.79446507	723	7.521388889
5923_3_F	forest	near-natural	17.02348965	978.7666667	8.401111111
5923_3_G	grassland	near-natural	17.18331349	774.8	10.02055556
5923_3_U	settlement	near-natural	16.72818035	882.2	9.479166667
5924_3_A	arable	near-natural	17.79468308	806.1333333	9.085833333
5924_3_F	forest	near-natural	16.92896507	777.0333333	9.305555556
5924_3_U	settlement	near-natural	17.74047915	699.9333333	9.727777778
5928_2_A	arable	agriculture	17.04609249	647.8666667	9.601944444
5928_2_F	forest	agriculture	15.54126519	745.1666667	9.043055556
5928_2_U	settlement	agriculture	17.32962307	688.6666667	9.348888889
5933_4_A	arable	agriculture	16.87940142	859.1333333	8.360555556
5933_4_F	forest	agriculture	19.73844975	845.3333333	8.476666667
5933_4_U	settlement	agriculture	17.25965664	865.1666667	8.265277778
5938_2_A	arable	agriculture	16.3367997	721.1666667	7.749722222
5938_2_F	forest	agriculture	15.43953264	777.2666667	7.523888889
5938_2_G	grassland	agriculture	16.14646381	780.9666667	7.445555556
5938_3_A	arable	urban	14.46009177	787.5333333	7.803055556
5938_3_F	forest	urban	14.97351639	873.4333333	7.302777778
5938_3_U	settlement	urban	15.11758236	852.7	7.478055556
6022_1_F	forest	near-natural	15.2359565	1048.2	8.364722222
6022_1_G	grassland	near-natural	15.37513398	988.3666667	8.816388889
6022_1_U	settlement	near-natural	15.99564925	969.5	8.958888889
