	PlotID	POINT_X	POINT_Y
1	5636_4_A	3696825.023	5580568.146
2	5636_4_F	3700232.5	5578926.065
3	5636_4_G	3700131.311	5580679.993
4	5637_3_A	3702728.561	5582170.587
5	5637_3_G	3703446.049	5580414.331
6	5637_3_U	3706417.544	5579381.856
7	5728_2_A	3603896.377	5573385.043
8	5728_2_F	3603249.002	5570272.775
9	5728_2_G	3605819.467	5573896.372
10	5737_3_A	3703971.817	5569530.559
11	5737_3_F	3706396.058	5570088.789
12	5737_3_G	3706800.497	5568226.053
13	5837_4_A	3711584.144	5560555.71
14	5837_4_F	3709964.089	5557350.679
15	5837_4_G	3712800.185	5557018.502
16	5838_2_A	3721499.912	5564717.624
17	5838_2_F	3721481.343	5565858.547
18	5838_2_U	3724413.171	5564138.237
19	5923_3_F	3540572.089	5544152.864
20	5923_3_G	3540043.868	5541609.401
21	5923_3_U	3537357.417	5544264.302
22	5924_3_A	3550053.318	5544488.674
23	5924_3_F	3549321.563	5541978.372
24	5924_3_U	3552719.105	5543965.721
25	5928_2_A	3606183.737	5552191.942
26	5928_2_F	3602968.598	5549350.625
27	5928_2_U	3606115.016	5549468.074
28	5933_4_A	3664440.109	5544108.089
29	5933_4_F	3665095.529	5542931.223
30	5933_4_U	3665735.241	5546035.651
31	5938_2_A	3725665.838	5553539.841
32	5938_2_F	3724217.982	5551886.471
33	5938_2_G	3722568.308	5551749.366
34	5938_3_A	3717771.68	5548689.192
35	5938_3_F	3718214.086	5546070.682
36	5938_3_U	3716338.204	5546486.233
37	6022_1_F	3525643.245	5537042.658
38	6022_1_G	3527904.937	5537888.043
39	6022_1_U	3527991.126	5536405.342
40	6026_3_A	3575863.595	5531875.963
41	6026_3_G	3573432.975	5533040.482
42	6027_3_A	3585643.236	5532196.378
43	6027_3_F	3586032.518	5534115.573
44	6027_3_U	3588702.173	5532430.292
45	6029_3_A	3611766.271	5532408.702
46	6029_3_F	3609632.625	5532255.192
47	6029_3_G	3612131.923	5532472.503
48	6031_4_F	3639222.143	5532908.286
49	6031_4_G	3640680.912	5535165.992
50	6031_4_U	3640815.098	5534897.283
51	6032_4_A	3649942.847	5534530.611
52	6032_4_F	3652966.745	5532754.251
53	6032_4_G	3651460.248	5532538.977
54	6034_2_A	3674400.659	5540845.86
55	6034_2_F	3678077.051	5542484.775
56	6034_2_G	3674918.242	5539625.061
57	6035_2_A	3686722.797	5542412.375
58	6035_2_G	3689579.667	5541225.013
59	6035_2_U	3687949.175	5539126.012
60	6035_3_A	3683607.666	5532699.691
61	6035_3_F	3680764.735	5535169.764
62	6035_3_U	3684824.757	5536413.479
63	6122_4_A	3534074.749	5521276.931
64	6122_4_F	3532146.655	5520331.562
65	6122_4_G	3532591.036	5522671.381
66	6123_1_A	3538760.491	5525793.935
67	6123_1_F	3538648.373	5526490.442
68	6123_1_G	3537174.685	5525846.508
69	6125_2_A	3569308.856	5526850.483
70	6125_2_F	3567101.565	5526715.878
71	6125_2_U	3568631.099	5525191.87
72	6131_1_A	3634464.272	5527936.122
73	6131_1_F	3636621.33	5526144.133
74	6131_1_U	3634477.432	5529940.277
75	6137_4_A	3714090.351	5523502.616
76	6137_4_F	3713292.698	5525198.667
77	6137_4_G	3713007.676	5526762.242
78	6224_2_A	3555866.246	5515727.985
79	6224_2_F	3555460.459	5514394.217
80	6224_2_U	3557931.47	5514265.156
81	6225_2_A	3569942.934	5515502.55
82	6225_2_F	3569234.084	5516200.7
83	6225_2_U	3567035.97	5515566.089
84	6231_4_A	3641968.596	5513216.619
85	6231_4_F	3643150.908	5512586.362
86	6231_4_G	3643907.001	5510022.221
87	6234_2_A	3674868.729	5520094.588
88	6234_2_F	3678768.161	5516624.097
89	6234_2_G	3676054.213	5518433.816
90	6327_2_A	3591981.998	5506930.653
91	6327_2_G	3595052.579	5506791.916
92	6327_2_U	3592503.351	5504251.251
93	6532_3_A	3645199.299	5475604.428
94	6532_3_F	3647164.818	5477224.372
95	6532_3_U	3648823.783	5477985.926
96	6533_4_F	3668433.135	5477482.135
97	6533_4_G	3665985.085	5480910.068
98	6533_4_U	3666850.564	5477502.228
99	6836_3_A	3698600.829	5447045.652
100	6836_3_F	3698131.112	5448708.225
101	6836_3_G	3697298.399	5447297.976
102	6934_1_A	3674883.356	5439011.242
103	6934_1_F	3673024.608	5437401.296
104	6934_1_G	3673616.426	5438781.068
105	6938_4_A	3727708.668	5438832.559
106	6938_4_G	3727315.527	5438832.011
107	6938_4_U	3726630	5434285.509
108	6945_2_G	3812201.268	5444177.255
109	6945_2_N	3815491.005	5444842.071
110	7036_4_A	3705997.369	5426857.545
111	7036_4_F	3704080.38	5426614.302
112	7036_4_G	3701667.25	5423968.876
113	7143_4_F	3788941.052	5418840.311
114	7143_4_G	3790982.063	5415712.235
115	7143_4_U	3791188.642	5418996.434
116	7147_1_F	3833733.635	5425867.514
117	7147_1_G	3833509.926	5423691.865
118	7147_1_N	3834634.926	5426950.45
119	7246_1_A	3822442.047	5414710.287
120	7246_1_F	3820672.205	5413716.952
121	7246_1_G	3822908.406	5412415.755
122	7332_3_A	3648875.786	5389770.56
123	7332_3_F	3648845.39	5391309.759
124	7332_3_G	3648844.174	5391801.55
125	7437_1_A	3713175.925	5385820.69
126	7437_1_F	3710096.387	5386335.86
127	7437_1_G	3711286.522	5386256.924
128	7446_1_F	3804918.056	5380485.597
129	7446_1_G	3820627.931	5389385.02
130	7446_1_U	3821706.899	5391216.346
131	7544_2_A	3823975.793	5392159.216
132	7544_2_F	3806672.368	5378072.018
133	7544_2_G	3806771.55	5379617.788
134	7545_2_A	3818436.863	5378482.156
